vin,year,make,model,trim,pricecategory,price,mileage,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,cartype,ReliabilityRank,CostOfLivingRank,CostOfLivingIndex,TransportationIndex,BrandPercentSales,BrandAvgDaysToTurn,CarClass,ReviewScore,AvgMPG
4T1BF1FK1HU726066,2017,TOYOTA,CAMRY,SE I4 AUTOMATIC,GREAT PRICE,17950,31239,AMARILLO,TX,WHITE,UNKNOWN,0,1,PERSONAL,N,SEDAN,5.0,14,91.7,91.1,12.1872269830779,43.23076923076923,AFFORDABLE MIDSIZE CARS,8.7,35.0
1GKKNSLA1HZ325911,2017,GMC,ACADIA,SLE WITH SLE-2 AWD,EXCELLENT PRICE,21000,45207,GRAND RAPIDS,MI,WHITE,BLACK,0,1,PERSONAL,Y,SUV,28.0,12,90.1,103.1,3.3940162460390058,72.07692307692308,AFFORDABLE MIDSIZE SUVS,7.4,23.5
5N1AT2MT9KC733012,2019,NISSAN,ROGUE,SV FWD,EXCELLENT PRICE,17998,11519,DELRAY BEACH,FL,GRAY,BLACK,0,0,PERSONAL,Y,SUV,16.0,27,99.2,98.7,6.28802759768661,76.23076923076923,AFFORDABLE COMPACT SUVS,7.4,29.5
1HGCR2F17HA203926,2017,HONDA,ACCORD,SPORT SPECIAL EDITION SEDAN CVT,GREAT PRICE,17290,27505,CORAL SPRINGS,FL,GRAY,BLACK,0,1,PERSONAL,Y,SEDAN,18.0,27,99.2,98.7,8.336902292535045,48.69230769230769,AFFORDABLE MIDSIZE CARS,8.1,34.0
5TDYK3DC5ES414768,2014,TOYOTA,SIENNA,XLE AUTO ACCESS SEAT 7-PASSENGER FWD,EXCELLENT PRICE,12995,135725,ORLANDO,FL,WHITE,GRAY,0,1,PERSONAL,Y,VAN/MINIVAN,5.0,27,99.2,98.7,12.1872269830779,43.23076923076923,MINIVANS,8.1,23.0
1FMCU0GD6HUD14293,2017,FORD,ESCAPE,SE FWD,FAIR PRICE,16000,23693,SEEKONK,MA,WHITE,BLACK,0,1,FLEET,Y,SUV,10.0,47,129.7,111.9,13.832688602095642,71.61538461538461,AFFORDABLE COMPACT SUVS,8.3,25.0
WBAJA5C35HWA35095,2017,BMW,5 SERIES,530I SEDAN RWD,EXCELLENT PRICE,34600,18125,FT. PIERCE,FL,BLACK,BLACK,0,1,PERSONAL,Y,SEDAN,8.0,27,99.2,98.7,1.7781767945930906,74.0,,,
1G1ZD5ST3KF136566,2019,CHEVROLET,MALIBU,LT WITH 1LT,GREAT PRICE,14631,35062,CLEARWATER,FL,BLACK,GRAY,1,1,PERSONAL,Y,SEDAN,9.0,27,99.2,98.7,11.692583720044867,78.23076923076923,AFFORDABLE MIDSIZE CARS,7.8,32.5
1N4AL3AP8HC287872,2017,NISSAN,ALTIMA,2017.5 2.5 SV,EXCELLENT PRICE,12500,52535,LAWRENCEVILLE,GA,SILVER,BLACK,0,2,PERSONAL,Y,SEDAN,16.0,10,90.0,96.4,6.28802759768661,76.23076923076923,AFFORDABLE MIDSIZE CARS,7.7,33.5
3FA6P0LU4KR188292,2019,FORD,FUSION,HYBRID SE FWD,GREAT PRICE,15295,36351,MAPLE SHADE,NJ,WHITE,GRAY,0,2,PERSONAL,Y,SEDAN,10.0,43,122.4,108.7,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
3FA6P0H71HR113495,2017,FORD,FUSION,SE FWD,GREAT PRICE,14599,35516,LYNNWOOD,WA,SILVER,BLACK,1,3,FLEET,Y,SEDAN,10.0,39,112.2,118.6,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
2FMGK5D82KBA04456,2019,FORD,FLEX,LIMITED FWD,EXCELLENT PRICE,23805,39298,SANTA BARBARA,CA,WHITE,UNKNOWN,0,1,FLEET,Y,SUV,10.0,49,142.7,133.0,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE SUVS,8.0,19.5
2T2GK31U89C069531,2009,LEXUS,RX,RX 350 FWD,EXCELLENT PRICE,9850,110015,RICHMOND,VA,BLUE,GRAY,0,3,FLEET,Y,SUV,2.0,31,101.4,93.8,1.6699578894174951,54.30769230769231,,,
3N1AB7AP1KY227728,2019,NISSAN,SENTRA,S CVT,GREAT PRICE,12800,37783,NEWPORT NEWS,VA,BLACK,BLACK,0,1,PERSONAL,Y,SEDAN,16.0,31,101.4,93.8,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
1FMCU0GD5HUE01747,2017,FORD,ESCAPE,SE FWD,GREAT PRICE,16999,19949,PENSACOLA,FL,WHITE,BLACK,0,1,PERSONAL,Y,SUV,10.0,27,99.2,98.7,13.832688602095642,71.61538461538461,AFFORDABLE COMPACT SUVS,8.3,25.0
SHHFK7H86HU416525,2017,HONDA,CIVIC,EX-L NAVI WITH HONDA SENSING HATCHBACK CVT,GREAT PRICE,19217,40170,RIVERHEAD,NY,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,18.0,50,155.9,110.8,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
2HGFA16508H526167,2008,HONDA,CIVIC,LX SEDAN AUTOMATIC,EXCELLENT PRICE,3998,187702,WINTER PARK,FL,SILVER,GRAY,0,4,PERSONAL,Y,SEDAN,18.0,27,99.2,98.7,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
1C4RJFBGXKC693324,2019,JEEP,GRAND CHEROKEE,LIMITED 4WD,EXCELLENT PRICE,29999,23136,SANFORD,NC,BLACK,BLACK,0,1,FLEET,Y,SUV,26.0,22,95.5,93.6,5.534839958792396,74.23076923076923,AFFORDABLE MIDSIZE SUVS,8.1,22.5
2GKFLTEK5D6349430,2013,GMC,TERRAIN,SLE-2 AWD,EXCELLENT PRICE,7995,85974,FREDERICKSBURG,VA,RED,BLACK,0,2,FLEET,Y,SUV,28.0,31,101.4,93.8,3.3940162460390058,72.07692307692308,AFFORDABLE COMPACT SUVS,7.8,28.0
1HGCR2F9XHA177473,2017,HONDA,ACCORD,EX-L WITH HONDA SENSING/NAVIGATION SEDAN CVT,GREAT PRICE,20700,23229,ANNAPOLIS,MD,WHITE,UNKNOWN,0,1,PERSONAL,Y,SEDAN,18.0,45,128.0,102.1,8.336902292535045,48.69230769230769,AFFORDABLE MIDSIZE CARS,8.1,34.0
5TFUW5F17HX644076,2017,TOYOTA,TUNDRA,SR DOUBLE CAB 6.5' BED FLEX FUEL 5.7L V8 4WD,EXCELLENT PRICE,28220,47240,ARLINGTON,TX,WHITE,GRAY,0,1,PERSONAL,N,PICKUP,5.0,14,91.7,91.1,12.1872269830779,43.23076923076923,FULL SIZE TRUCKS,7.0,17.0
JTHBK1GG6F2194461,2015,LEXUS,ES,ES 350,EXCELLENT PRICE,15414,82714,SPRING,TX,BEIGE,BEIGE,0,2,PERSONAL,N,SEDAN,2.0,14,91.7,91.1,1.6699578894174951,54.30769230769231,LUXURY MIDSIZE CARS,8.1,27.5
1G1BE5SM8H7124133,2017,CHEVROLET,CRUZE,LT WITH 1SD SEDAN AUTOMATIC,GREAT PRICE,13986,45582,GLENDALE HEIGHTS,IL,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,9.0,9,89.7,104.8,11.692583720044867,78.23076923076923,AFFORDABLE SMALL CARS,8.5,33.0
1FTEW1EG1HFC32972,2017,FORD,F150,XLT SUPERCREW 5.5' BOX 4WD,GREAT PRICE,35500,45451,LOUISVILLE,KY,BLACK,BLACK,0,2,PERSONAL,Y,PICKUP,10.0,19,94.2,94.5,13.832688602095642,71.61538461538461,,,
