ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,age,odo,price,owner_0,owner_1,owner_2,usage_FLEET,usage_PERSONAL,LuxurySportsOrHybrid_N,LuxurySportsOrHybrid_U,LuxurySportsOrHybrid_Y,drivetrain_AWD,drivetrain_FWD,accidenthist_N,accidenthist_Y,colorexterior_BLACK,colorexterior_BLUE,colorexterior_GRAY,colorexterior_OTHER,colorexterior_RED,colorexterior_SILVER,colorexterior_WHITE,colorinterior_BEIGE,colorinterior_BLACK,colorinterior_GRAY,colorinterior_OTHER,bodytype_CONVERTIBLE,bodytype_COUPE,bodytype_HATCHBACK,bodytype_PICKUP,bodytype_SEDAN,bodytype_SUV,bodytype_TRUCK,bodytype_VAN/MINIVAN,bodytype_WAGON
16.0,10,6.28802759768661,76.23076923076923,7.4,29.5,1,23.724,16.954,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10.0,27,13.832688602095642,71.61538461538461,7.9,31.0,1,25.648,8.598,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,18.592,17.9,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31.0,3,0.6898618253052382,94.76923076923077,8.0,20.5,1,11.0,24.981,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14.0,14,3.9890632445645786,73.38461538461539,8.4,28.5,1,24.707,14.8,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,27,6.28802759768661,76.23076923076923,7.7,33.5,5,82.253,7.991,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,26.506,15.75,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,31,6.28802759768661,76.23076923076923,7.2,33.0,1,17.92,11.65,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,14,2.126715603110482,98.53846153846153,7.3,24.5,1,27.102,21.999,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,8,6.28802759768661,76.23076923076923,7.4,29.5,1,38.237,16.5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13.0,27,4.156328806440607,79.07692307692308,8.1,31.0,3,115.844,5.5,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
10.0,14,13.832688602095642,71.61538461538461,8.2,26.0,1,32.777,13.995,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.0,11,4.156328806440607,79.07692307692308,8.1,31.0,7,79.672,6.999,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.0,39,8.336902292535045,48.69230769230769,7.4,31.0,3,46.619,11.5,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13.0,27,4.156328806440607,79.07692307692308,8.1,31.0,1,4.856,13.752,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.2,33.0,1,35.62,13.03,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,26.788,15.885,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
14.0,34,3.9890632445645786,73.38461538461539,8.5,28.5,1,22.788,14.995,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
11.0,14,1.929191497070014,60.07692307692308,8.3,30.5,5,83.277,7.495,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9.0,14,11.692583720044867,78.23076923076923,7.8,32.5,0,10.307,18.888,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.2,33.0,2,38.717,10.988,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,3,6.28802759768661,76.23076923076923,7.2,33.0,7,108.798,4.993,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9.0,27,11.692583720044867,78.23076923076923,8.4,29.0,0,15.493,18.994,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31.0,49,0.6898618253052382,94.76923076923077,8.0,20.5,1,31.455,19.411,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14.0,27,3.9890632445645786,73.38461538461539,8.4,28.5,0,30.488,14.998,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,30.404,17.6,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,25.186,15.998,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
10.0,3,13.832688602095642,71.61538461538461,8.2,26.0,9,120.957,5.0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,11.769,14.8,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,11.796,14.8,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26.0,35,5.534839958792396,74.23076923076923,7.1,21.0,1,15.083,34.888,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14.0,14,3.9890632445645786,73.38461538461539,8.5,28.5,1,31.189,12.99,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31.0,27,0.6898618253052382,94.76923076923077,8.0,20.5,1,25.03,20.898,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13.0,31,4.156328806440607,79.07692307692308,8.1,31.0,3,28.807,11.895,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14.0,15,3.9890632445645786,73.38461538461539,8.4,28.5,1,35.768,13.447,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31.0,49,0.6898618253052382,94.76923076923077,8.0,20.5,1,27.373,19.737,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
