year,make,model,trim,odometer,state,colorexterior,colorinterior,accidenthist,owner,usage,price
2017,MERCEDES-BENZ,CCLASS,C 300 WITH SPORT PACKAGE SEDAN RWD,36799,CA,WHITE,BLACK,N,1,PERSONAL,19500
2019,DODGE,GRAND CARAVAN,SXT,44325,FL,WHITE,BLACK,N,2,PERSONAL,12999
2019,CHRYSLER,300,LIMITED RWD,40661,FL,WHITE,BLACK,N,1,PERSONAL,19490
2009,TOYOTA,COROLLA,LE AUTOMATIC,118900,WA,BLACK,UNKNOWN,N,2,PERSONAL,5404
2018,NISSAN,SENTRA,S CVT,38182,NM,BLACK,BLACK,N,2,FLEET,13995
2017,MERCEDES-BENZ,CCLASS,C 300 4MATIC SEDAN,45608,FL,SILVER,UNKNOWN,N,2,PERSONAL,21544
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,38075,VA,GRAY,BLACK,Y,2,FLEET,12500
2019,DODGE,JOURNEY,GT AWD,32659,MA,SILVER,RED,N,2,FLEET,18995
2015,NISSAN,ALTIMA,2.5 S,88930,CA,SILVER,BLACK,N,3,PERSONAL,8800
2019,NISSAN,SENTRA,SR CVT,10406,VA,BLACK,BLACK,Y,1,PERSONAL,11900
2013,HYUNDAI,ELANTRA,GLS SEDAN AUTOMATIC,83521,CA,GRAY,GRAY,N,1,PERSONAL,7777
2019,CHRYSLER,300,LIMITED RWD,29162,LA,WHITE,BLACK,N,1,PERSONAL,19995
2019,TOYOTA,4RUNNER,SR5 4WD,15680,IL,BLACK,BLACK,N,1,PERSONAL,33990
2019,NISSAN,ROGUE,SV FWD,23298,FL,WHITE,BLACK,N,1,PERSONAL,17497
2019,CHRYSLER,300,LIMITED RWD,19588,IL,WHITE,BLACK,N,2,PERSONAL,20999
2012,HONDA,CIVIC,LX SEDAN AUTOMATIC,154497,TN,BLACK,GRAY,N,1,PERSONAL,5995
2007,BMW,X3,3.0SI AWD,146988,NY,BLACK,BROWN,N,4,FLEET,4950
2012,FORD,FOCUS,SE SEDAN,52430,CA,WHITE,UNKNOWN,N,2,PERSONAL,7347
2019,NISSAN,ROGUE,S FWD,6984,FL,SILVER,UNKNOWN,N,0,PERSONAL,17998
2014,VOLKSWAGEN,PASSAT,TDI SE WITH SUNROOF SEDAN DSG,81280,VA,WHITE,BLACK,N,2,PERSONAL,8237
2016,KIA,SOUL,BASE AUTOMATIC,116811,FL,BLACK,BLACK,Y,1,PERSONAL,5998
2020,CHEVROLET,SILVERADO 1500,LT DOUBLE CAB STANDARD BED 4WD,6487,GA,BLACK,BLACK,N,1,PERSONAL,32995
2017,INFINITI,Q50,RED SPORT 400 AWD,47253,FL,WHITE,GRAY,N,2,PERSONAL,22795
2019,DODGE,GRAND CARAVAN,SXT,39839,CA,SILVER,BLACK,Y,1,PERSONAL,15677
2019,NISSAN,VERSA,SV SEDAN CVT,39343,FL,SILVER,BLACK,N,1,PERSONAL,9995
2020,TOYOTA,COROLLA,LE CVT,25977,CA,BLACK,UNKNOWN,N,1,PERSONAL,14190
2019,FORD,MUSTANG,ECOBOOST PREMIUM CONVERTIBLE,10902,HI,SILVER,UNKNOWN,N,1,FLEET,24990
2019,FORD,FUSION,HYBRID SE FWD,42268,TN,WHITE,BLACK,N,1,PERSONAL,14459
2019,KIA,SOUL,#NAME?,13713,NM,RED,BLACK,N,1,PERSONAL,16269
2019,FORD,ESCAPE,SE FWD,24527,TX,SILVER,GRAY,N,1,PERSONAL,15268
2017,HONDA,CIVIC,SI SEDAN MANUAL,33938,CA,WHITE,GRAY,Y,2,FLEET,13999
2019,CHRYSLER,300,LIMITED AWD,21592,MI,BLACK,BLACK,Y,1,PERSONAL,19995
2019,FORD,FUSION,HYBRID SE FWD,31052,NV,WHITE,BLACK,N,1,PERSONAL,15999
2017,MERCEDES-BENZ,CCLASS,C 300 SEDAN RWD,36321,CA,WHITE,BLACK,N,1,PERSONAL,23797
2019,FORD,FUSION,HYBRID SE FWD,29476,NV,BLACK,BLACK,N,1,PERSONAL,15999
2019,NISSAN,ROGUE,SV FWD,35589,CA,BLACK,BLACK,N,1,PERSONAL,15127
2015,NISSAN,ALTIMA,2.5 S,98474,TX,BLACK,GRAY,N,3,FLEET,10990
2020,CHEVROLET,SILVERADO 1500,LT DOUBLE CAB STANDARD BED 4WD,6664,GA,SILVER,BLACK,N,1,PERSONAL,32990
2017,MERCEDES-BENZ,CCLASS,C 300 4MATIC SEDAN,31557,CA,GRAY,RED,N,1,PERSONAL,25988
2019,TOYOTA,4RUNNER,SR5 4WD,33874,KS,WHITE,BLACK,N,1,PERSONAL,31499
2019,TOYOTA,4RUNNER,SR5 4WD,17553,PA,SILVER,UNKNOWN,N,2,PERSONAL,31599
2019,KIA,SOUL,#NAME?,20445,MO,WHITE,BLACK,N,1,PERSONAL,14495
2019,CHEVROLET,MALIBU,LT WITH 1LT,2665,TN,WHITE,BLACK,N,0,PERSONAL,17377
2015,FORD,FIESTA,SE HATCHBACK,95676,CA,WHITE,UNKNOWN,Y,1,FLEET,4995
2019,NISSAN,ROGUE,SV FWD,42089,CA,GRAY,BLACK,N,1,PERSONAL,15270
2019,TOYOTA,CAMRY,LE AUTOMATIC,32626,CA,WHITE,UNKNOWN,N,1,PERSONAL,16100
2008,HONDA,ACCORD,EX-L SEDAN I4 AUTOMATIC,240369,IL,BLACK,BLACK,N,1,PERSONAL,2911
2019,NISSAN,SENTRA,SV CVT,12497,CA,BLUE,BLACK,N,1,PERSONAL,13992
2017,NISSAN,SENTRA,SV CVT,44909,KY,BLACK,BLACK,N,2,PERSONAL,10999
2019,CHRYSLER,300,LIMITED RWD,12899,CA,GRAY,BLACK,N,1,PERSONAL,23988
2019,TOYOTA,CAMRY,SE AUTOMATIC,36508,KS,WHITE,BLACK,N,1,FLEET,19950
2019,NISSAN,ROGUE,SV FWD,37243,GA,WHITE,BLACK,N,1,PERSONAL,16892
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,16979,TX,SILVER,BLACK,N,1,PERSONAL,13444
2019,FORD,FUSION,HYBRID SE FWD,21144,TX,SILVER,UNKNOWN,N,1,PERSONAL,15491
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 4WD",17816,MT,WHITE,BLACK,N,1,PERSONAL,28500
2018,MERCEDES-BENZ,GLA,GLA 250 4MATIC,6512,TX,WHITE,BLACK,N,1,PERSONAL,25650
