vin|year|make|model|trim|pricecategory|pricevariance|price|mileage|city|state|colorexterior|colorinterior|accidenthist|owner|usage
1HGCR2F54HA033429|2017|Honda|Accord|Sport Sedan CVT|Excellent Price||15833|34653|McKinney|TX|Blue|Black|no| 1| personal
1B3HB28B17D258725|2007|Dodge|Caliber|FWD Manual|||2000|178051|Grand Blanc|MI|Silver|Gray|1| 3| personal
1N4AL3APXFN876746|2015|Nissan|Altima|2.5 S|Excellent Price||10990|98474|Blue Mound|TX|Black|Gray|no| 3| fleet
1HGCR2F3XHA223377|2017|Honda|Accord|LX Sedan CVT|Excellent Price|$1810 off avg. list price|14500|22010|Woodbridge|VA|White|Unknown|1| 1| personal
1C4AJWBG6FL509094|2015|Jeep|Wrangler|Sahara|Excellent Price|$3618 off avg. list price|18900|89141|Key West|FL|Black|Black|no| 2| personal
5NPD84LF1HH175356|2017|Hyundai|Elantra|SE 2.0L Sedan Automatic|Excellent Price|$1202 off avg. list price|8900|89765|Orlando|FL|Gray|Gray|no| 2| fleet
4T1B11HK8KU774392|2019|Toyota|Camry|L Automatic|Excellent Price|$1070 off avg. list price|19777|21370|Memphis|TN|White|Gray|no| 1| fleet
3FA6P0RU7KR264028|2019|Ford|Fusion|Hybrid Titanium FWD|Excellent Price|$1008 off avg. list price|18995|25472|Kennesaw|GA|Black|Black|no| 1| personal
3C4PDDEG8KT694815|2019|Dodge|Journey|GT AWD|Excellent Price|$2038 off avg. list price|18991|26934|Glendale|CA|White|Black|no| 1| personal
5XXGT4L39KG298567|2019|Kia|Optima|LX|Excellent Price|$762 off avg. list price|14387|44066|New Bern|NC|White|Black|no| 1| personal
1FAHP2E83GG132637|2016|Ford|Taurus|SEL FWD|||7133|149435|Virginia Beach|VA|Blue|Beige|no| 3| fleet
WVWBW7AH3CV000022|2012|Volkswagen|Eos|Komfort (SULEV)|||4995|138537|East Ridge|TN|White|Black|1| 2| personal
1G1PG5SBXE7200784|2014|Chevrolet|Cruze|LTZ Automatic|||8490|63000|Salt Lake City|UT|Black|Black|no| 3| personal
1GAZGPFG8K1263567|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$1272 off avg. list price|22999|20264|Columbia|MO|White|Gray|no| 1| personal
1HGCR2F78HA087849|2017|Honda|Accord|EX Sedan CVT|Excellent Price|$1023 off avg. list price|13994|62367|Fort Pierce|FL|Black|Black|no| 2| personal
1HGCR2F35HA174511|2017|Honda|Accord|LX Sedan CVT|Excellent Price|$628 off avg. list price|14481|49102|Raleigh|NC|White|Beige|no| 1| fleet
2C4RDGCG0KR580663|2019|Dodge|Grand Caravan|SXT|Great Price|$534 off avg. list price|17955|34407|Price|UT|White|Black|1| 1| fleet
5YFEPRAE9LP011864|2020|Toyota|Corolla|LE CVT|Excellent Price|$821 off avg. list price|15500|16021|Charlotte|NC|White|Gray|no| 1| personal
JTMZD33V075051077|2007|Toyota|RAV4|I4 FWD|||5311|141531|O'Fallon|IL|Red|Beige|no| 1| personal
KNMAT2MV8HP536436|2017|Nissan|Rogue|SV AWD|Excellent Price||13999|43164|Dallas|TX|Blue|Black|2| 1| personal
1FTNE24L09DA75617|2009|Ford|Econoline Cargo Van|E-250 Commercial|||7995|93393|National City|CA|White|Gray|no| 2| personal
2C4RDGCG1KR694414|2019|Dodge|Grand Caravan|SXT|Excellent Price|$1021 off avg. list price|18100|33204|Indianapolis|IN|Black|Black|no| 1| personal
2HGFC2F56HH525993|2017|Honda|Civic|LX Sedan CVT|Excellent Price|$1390 off avg. list price|12785|32398|Elmont|NY|Black|Black|no| 1| fleet
5GRGN23U33H133883|2003|HUMMER|H2|SUV|||14995|95800|Spokane|WA|Yellow|Beige|1| 7| fleet
JHMFA16527S004709|2007|Honda|Civic|LX Sedan Automatic|Excellent Price|$909 off avg. list price|4576|143110|Colorado Springs|CO|Black|Gray|no| 2| personal
5YFEPRAE7LP069133|2020|Toyota|Corolla|LE CVT|Excellent Price|$709 off avg. list price|13299|11215|Miami Gardens|FL|Red|Black|no| 1| personal
5YFEPRAEXLP045554|2020|Toyota|Corolla|LE CVT|Great Price|$607 off avg. list price|15975|11070|Pembroke|MA|White|Black|no| 1| personal
JTDEPRAE0LJ016617|2020|Toyota|Corolla|LE CVT|Great Price|$266 off avg. list price|15990|15279|Doral|FL|White|Unknown|no| 1| personal
3N1AB7AP8KL609204|2019|Nissan|Sentra|SV CVT|Great Price|$482 off avg. list price|12647|38798|Baton Rouge|LA|Gray|Black|no| 1| personal
