colorexterior,colorinterior,accidenthist,owner,usage,price,age,odo,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,bodytype,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain
BLACK,BLACK,N,1,PERSONAL,17.6,1,30.404,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,15.998,1,25.186,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,OTHER,N,2,FLEET,5.0,9,120.957,10.0,3,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,AWD
SILVER,BLACK,N,1,PERSONAL,14.8,0,11.769,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,14.8,0,11.796,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
BLACK,BLACK,N,1,PERSONAL,34.888,1,15.083,26.0,35,5.534839958792396,74.23076923076923,SUV,7.1,21.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,12.99,1,31.189,14.0,14,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
GRAY,BLACK,N,1,PERSONAL,20.898,1,25.03,31.0,27,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
SILVER,OTHER,N,1,PERSONAL,11.895,3,28.807,13.0,31,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
GRAY,BLACK,N,2,PERSONAL,13.447,1,35.768,14.0,15,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,19.737,1,27.373,31.0,49,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
WHITE,BLACK,N,1,PERSONAL,16.75,1,44.611,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,BLACK,N,1,PERSONAL,13.15,1,33.173,16.0,49,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,13.799,1,32.072,14.0,49,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
