vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
2C3CCAKG0KH528855,CHRYSLER,300,EXCELLENT PRICE,23200.0,LOUISVILLE,KY,BLACK,BLACK,Y,1,FLEET,Y,SEDAN,31.0,19,0.6898618253052382,94.76923076923076,8.0,20.5,N,AWD,1.0,14.439
3N1AB7AP3HY285039,NISSAN,SENTRA,EXCELLENT PRICE,9950.0,LAWNDALE,CA,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,49,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,3.0,38.0
1FATP8UH0K5162343,FORD,MUSTANG,GREAT PRICE,29964.0,GREENWOOD,IN,BLACK,BLACK,N,1,PERSONAL,Y,COUPE,10.0,7,13.832688602095642,71.61538461538461,8.3,26.0,Y,FWD,1.0,22.566
5YJSA1AG4DFP11800,TESLA,MODEL S,EXCELLENT PRICE,29990.0,BLUE MOUND,TX,WHITE,BEIGE,N,2,PERSONAL,N,SEDAN,14.0,14,1.342865606333592,74.23076923076924,9.3,40.888782705472316,Y,AWD,7.0,72.905
3FA6P0D94KR120150,FORD,FUSION,GREAT PRICE,19997.0,JACKSON,MS,BLACK,BLACK,N,1,PERSONAL,Y,SEDAN,10.0,1,13.832688602095642,71.61538461538461,8.2,26.0,N,AWD,1.0,45.957
5NPD84LF7HH072264,HYUNDAI,ELANTRA,EXCELLENT PRICE,9700.0,NEW PORT RICHEY,FL,BLUE,GRAY,N,1,PERSONAL,Y,SEDAN,13.0,27,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,3.0,56.197
KMHDH4AE1FU304043,HYUNDAI,ELANTRA,EXCELLENT PRICE,7920.0,HARLINGEN,TX,RED,BEIGE,Y,1,PERSONAL,N,SEDAN,13.0,14,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,5.0,92.756
JN8AS5MT4DW552768,NISSAN,ROGUE,EXCELLENT PRICE,6748.0,CLEARWATER,FL,WHITE,BLACK,N,2,PERSONAL,Y,SUV,16.0,27,6.28802759768661,76.23076923076924,7.4,29.5,N,FWD,7.0,122.604
3N1AB7AP4KY457831,NISSAN,SENTRA,GREAT PRICE,13995.0,NORTH DARTMOUTH,MA,BLUE,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,47,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,0.025
2C4RDGCG8KR595878,DODGE,GRAND CARAVAN,EXCELLENT PRICE,17199.0,CENTENNIAL,CO,BLACK,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,33,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,35.35
